"year","catch","SST"
1965,-3.98295494589716,5.572599328
1966,-5.25691639634802,5.218048357
1967,-3.81415862525285,5.448940671
1968,-4.17873853036267,5.214611456
1969,-4.42413041359682,5.472941901
1970,-5.10916181067907,5.373145178
1971,-5.94861878361147,5.303045903
1972,-6.88723418044344,4.94479282
1973,-6.69439469685371,4.83975284
1974,-5.82841383297727,5.138718612
1975,-4.65214196770686,5.141483245
1976,-3.8397242726487,5.455644091
1977,-2.55084234935501,5.43596084
1978,-1.43968657141029,5.690618842
1979,-0.834124059082826,5.654198358
1980,-0.228746264721036,5.856119441
1981,0.526583601448978,5.859211932
1982,0.423777882233724,5.840502994
1983,0.891977250087676,5.936922547
1984,1.34339708619491,6.102324058
1985,1.42063330441404,6.016681764
1986,0.082191877471065,6.167040696
1987,0.265982592854647,6.122415875
1988,1.18535594881297,6.07665969
1989,1.92605497512276,5.679022648
1990,2.88342292686312,5.400912894
1991,3.0101333294533,5.536857361
1992,3.23487472038602,5.549610995
1993,3.78194896922362,5.897757186
1994,3.53617326806093,5.703064775
1995,2.99041207346419,5.679497525
1996,2.24839181723238,5.386168861
1997,2.80175840005756,5.784023979
1998,2.45365874569104,5.993993391
1999,2.02162606867342,5.955874393
2000,2.37406693911252,5.82094139
2001,2.50859528835882,5.579991612
2002,2.40283595738268,6.117532631
2003,2.73123650131833,6.075466225
2004,2.46242198145526,6.2409659
2005,2.08676934687314,5.856108921
2006,1.83459404000464,5.621741771
2007,1.71235339214077,5.372325434
2008,1.82709650808204,5.095602729
2009,2.38161331248291,5.28241072
2010,2.18013016944314,5.472597521
2011,1.64910535417647,5.456648869
2012,2.91665278590511,5.386569209
