"year","wind.stress","ssh","KS.slp.diff","salinity.20m","papa.index","upwelling","winter.sst","freshwater"
1950,0.115293753,0.105311982,3.495524089,NA,47.777,-13.8888888876667,5.30555876545284,NA
1951,0.089652233,0.06824416,3.284749349,NA,53.313,5.55555555533333,5.25300226626189,NA
1952,0.097761982,0.101139885,1.90020752,NA,49.818,-1.22222222233333,5.31167894498162,NA
1953,0.098183679,0.112568207,12.54785156,NA,58.541,-0.222222222333333,5.59887541377026,NA
1954,0.078608987,0.088883849,8.836385091,NA,55.92,-8.66666666666667,5.37428663761719,NA
1955,0.084932466,0.064285149,11.15460205,NA,50.403,-3,6.11582273193028,NA
1956,0.082910466,0.06856909,3.03120931,NA,49.452,-2.888888889,5.31786938128264,NA
1957,0.079710789,0.061090668,8.023701986,NA,50.996,-3.888888889,5.15787563531295,NA
1958,0.101541501,0.164505235,11.85286458,NA,55.635,8.33333333333333,6.75834502448206,NA
1959,0.093641939,0.096623256,8.842651367,NA,55.613,-2.55555555566667,5.9452316014663,NA
1960,0.096927489,0.116519943,13.90702311,NA,56.912,-6.222222222,6.0513081478036,NA
1961,0.096912666,0.124924563,12.35384115,NA,59.619,-9.66666666566667,5.64631706735362,NA
1962,0.078493444,0.066860675,7.620951335,NA,52.124,1.44444444433333,5.556864016989,-0.533046650031724
1963,0.098821978,0.082436312,8.258585612,NA,58.318,6.11111111233333,6.07462044591489,-0.00826974588833338
1964,0.095809722,0.074213113,10.30171712,NA,58.22,1,6.16881403819374,0.207790829862448
1965,0.089384458,0.078060546,5.084065755,NA,50.386,2.111111111,4.90314182094906,-0.340034632258433
1966,0.086882353,0.102937506,4.000854492,NA,50.677,8.66666666533333,5.4580039832903,-0.485489585867619
1967,0.090275652,0.061820158,2.726908366,NA,52.128,7.777777778,5.26605402905008,-0.839996137109925
1968,0.094706911,0.128261461,3.94720459,NA,54.059,-2.22222222233333,5.59046151534371,-0.22712814588608
1969,0.088368137,0.122277843,5.202189128,NA,47.16,-1.33333333333333,4.74806814815687,-1.44752276471695
1970,0.108189029,0.144889922,11.7917277,NA,59.623,-9.777777779,6.03099891413813,0.711393309244983
1971,0.092097098,0.099744794,2.623616536,31.719,50.858,0.444444444333333,5.38424786899401,-1.03844514320623
1972,0.092044695,0.080128015,4.098409017,31.995,48.873,1.44444444433333,4.46790515132572,-1.51887364324844
1973,0.082304207,0.106723983,5.49399821,NA,53.182,-13.8888888876667,4.99219398187554,-0.466097086381111
1974,0.097763981,0.105220273,2.501424154,31.75966667,54.093,0.666666666666667,4.94030163702757,-1.2275730121607
