year,wind.stress,ssh,KS.slp.diff,salinity.20m,54N.134W,57N.137W,60N.146W,60N.149W,egoa.spr.sst,egoa.win.sst,wgoa.spr.sst,wgoa.win.sst,papa.index
1950,0.115293753,0.105311982,3.495524089,NA,-21.33333333,-17,-3.333333333,-1,-1.18766303,-0.51951926,-0.480689756,-0.254240872,47.777
1951,0.089652233,0.06824416,3.284749349,NA,10,4.333333333,2.333333333,4.666666667,-0.827308956,-0.330747939,-0.733057632,-0.322748094,53.313
1952,0.097761982,0.101139885,1.90020752,NA,-2.333333333,-3.666666667,2.333333333,4,-0.511272205,-0.342177529,-0.540390445,-0.274665671,49.818
1953,0.098183679,0.112568207,12.54785156,NA,-0.333333333,-0.666666667,0.333333333,1,0.089832145,0.245781602,0.198436729,-0.081670261,58.541
1954,0.078608987,0.088883849,8.836385091,NA,-15,-8.333333333,-2.666666667,-0.666666667,-0.283857064,0.133396164,-0.119142884,-0.343745668,55.92
1955,0.084932466,0.064285149,11.15460205,NA,-3.666666667,-7.333333333,2,6,-0.655196746,0.850459365,-0.253359371,0.561863467,50.403
1956,0.082910466,0.06856909,3.03120931,NA,-4.333333333,-5.666666667,1.333333333,5.333333333,0.402721491,-0.295424095,0.011412112,-0.276658563,49.452
1957,0.079710789,0.061090668,8.023701986,NA,-5,-4,-2.666666667,-1.333333333,0.619974087,-0.392218742,0.752090822,-0.453231102,50.996
1958,0.101541501,0.164505235,11.85286458,NA,15,5,5,8.333333333,1.735315871,1.652492483,1.228463255,1.289139625,55.635
1959,0.093641939,0.096623256,8.842651367,NA,-5.666666667,-3.666666667,1.666666667,2.666666667,0.761344705,0.789263831,0.724611868,0.473504604,55.613
1960,0.096927489,0.116519943,13.90702311,NA,-9.333333333,-8.333333333,-1,0.333333333,0.259646116,0.88094636,0.246299324,0.448479144,56.912
1961,0.096912666,0.124924563,12.35384115,NA,-14,-14.33333333,-0.666666667,0.333333333,0.980613692,0.630517323,0.882383431,0.003858577,59.619
1962,0.078493444,0.066860675,7.620951335,NA,1.333333333,-0.333333333,3.333333333,2.333333333,0.541715544,0.348728783,0.105336594,-0.160819205,52.124
1963,0.098821978,0.082436312,8.258585612,NA,4.666666667,0,13.66666667,13.66666667,1.175111323,1.206791277,0.371111225,0.387766491,58.318
1964,0.095809722,0.074213113,10.30171712,NA,0.666666667,-0.666666667,3,1,-0.535210695,0.772380364,-0.351724672,0.847135473,58.22
